pagan_subjugation_desc;Certain religions and cultures are allowed to subjugate others rulers once in their lifetime. (With the 'Become King' ambition, there is no such time limit against targets within the kingdom.);;;;;;;;;x
marsh;Marsh;;;;;;;;;x
REL_PENTARCHS;Sage Council;;;;;;;;;x
REL_PENTARCHS_NON_ORTHODOX_DESC;The Sages are the traditional regional heads of the $RELIGION$ church.;Les pentarques étaient les cinq patriarches originels de l'Église Chrétienne. Leur autorité en tant que patriarches autocéphales sur leurs Églises respectives est toujours reconnue par l'Église $RELIGION$.;Die Pentarchie waren die fünf Patriarchate der frühchristlichen Kirche. Ihre Authorität innerhalb ihrer Stammsitze ist innerhalb der $RELIGION$en Kirche noch immer anerkannt.;;Los Pentarcas fueron los cinco Patriarcas originales del Cristianismo. Su autoridad como Patriarcas autocéfalos sobre sus antiguas sedes es todavía reconocida por la religión $RELIGION$.;;;;;;;;;x
#REL_AUTOCEPHALY_DESC;Multiple Patriarchs - the five Pentarchs and Autocephalous Patriarchs under Kings;Patriarches multiples – les cinq pentarques et patriarches autocéphales dépendant de rois;Mehrere Patriarchen: die fünf Pentarchen und die Autokephalen Patriarchen unter Königen;;Patriarcas múltiples - los cinco pentarcas y patriarcas autocéfalos bajo reyes;;;;;;;;;x
AUTOCEPHALOUS_REL_HEAD_TITLE;Sage;;;;;;;;;x
AUTOCEPHALOUS_PATRIARCHS;Realm Sage;;;;;;;;x
AUTOCEPHALY_IRO;Additional Sage;;;;;;;;;x
AUTOCEPHALY_DRO;Apart from the five Sages on the council all other $RELIGION$ kingdoms or empires also have their own autonomous Sage. The Court Chaplain of such a kingdom or empire is also considered the Sage of that realm. He will always do what his liege asks of him.;;;;;;;;;;x
DYN1_DESC;With a score of $SCORE$ you$FAILED$ beat House Demise, Demon Kings on 3 seperate continents, creators of all monsters, slayers of both gods and mortals. Whose members have reduced entire civilizations to dust and killed over half of all sentient creatures in the world.;Avec un score de $SCORE$, vous surpassez la Maison Targaryen, Seigneurs des Sept Couronnes, Rois des Andals, du Rhoynar et des Premiers Hommes, Protecteurs du Royaume. L'une des rares maisons valyriennes à avoir survécu au Fléau, les Targaryen s'établirent sur l'île de Peyredragon une centaine d'année avant la catastrophe. Cent ans plus tard, Aegon le Conquérant commençait l'invasion de Westeros en débarquant à l'embouchure de la Néra, sur le site de sa future capitale, Port-Réal. Aegon parvint à soumettre six des Royaumes de Westeros. 129 ans plus tard, ils s'entre-déchirèrent dans une terrible guerre de succession appelée la Danse des Dragons qui coûta la vie à leurs dragons puis, en l'an 195, ils affrontèrent une nouvelle menace : les prétendants Feunoyr, bâtards descendants d'Aegon IV. La guerre dura un an avant que les Feunoyr ne soient boutés hors de Westeros et se réfugient dans les Cités Libres, où ils préparèrent de nombreuses tentatives d'invasion. Après presque 300 ans de domination des Targaryen sur Westeros, Aerys II 'le Roi Fou' perdit en 283 sa vie et son trône durant la Rébellion de Robert Baratheon. Les deux seuls survivants de la dynastie s'enfuirent en exil dans les Cités Libres.;;;Con un resultado de $SCORE$, no has podido superar a la Casa Targaryen. Señores de los Siete Reinos, Reyes de los Ándalos, los Rhoynar y los Primeros Hombres y Protectores del Reino. Fue una de las pocas casas que sobrevivó a la maldición de Valyria e hicieron de la isla de Rocadragón su hogar por cientos de años antes de la maldición. Cientos de años después, Aegon el Conquistador comenzó su invasión de Poniente desembarcando en la boca de del Aguasnegras, donde posteriormente contruiría su futura capital, Desembarco del Rey, y consquistó seis de los siete reinos de Poniente. 129 años después la casa lucho en un sangirente guerra de sucesión llamada Danza de Dragones, que les costó los últimos dragones supervivientes. En el año 195 DD (Después del Desembarco) se enfretaron a otra amenza, los Fuegoscuros, bastardos descendientes de Aegon IV. La guerra continuó por una año antes que los Fuegoscuro fueran explusados de Poniente y buscaran refugio en las Ciudades Libres, desde donde lanzaron una serie de intentos de invasión de Poniente. Tras gobernar sobre Poniente por casi 300 años, en el 283 tras el Desembarco de Aegon, Aerys II 'El Rey Loco' perdió tanto su vida como el trono tras la Rebelión de Robert, los dos únicos supervivientes conocidos de la casa tuvieron que huir exiliados a las Ciudades Libres.;;;;;;;;;x
DYN2_DESC;With a score of $SCORE$ you$FAILED$ beat House Deku, said to be the last of the true gods created by the triplet goddesses. In some timelines they would lead their blood relatives and children races to dominance over most of the worlds forests and in others they would be snuffed out by the rise of new and more terrible Demon Kings.;Avec un score de $SCORE$, vous surpassez la maison Baratheon, Seigneurs Suzerains des Terres de l'Orage et plus tard Rois de Westeros. Le premier Roi de l'Orage fut Durran I 'Dieux-deuil' qui, selon la légende, fonda Accalmie et prit pour épouse Elenei, fille du dieu des mers et de la déesse des vents. Ses successeurs parvinrent à conquérir le Conflans au nord et le conservèrent jusqu'au règne du Roi Arrec, qui le perdit au profit de la Maison Chenu des Îles de Fer. Durant la Conquête, Argilac l'Arrogant fut tué par Orys Baratheon, demi-frère bâtard supposé d'Aegon le Conquérant, qui prit par la suite sa fille comme épouse et adopta le nom de sa maison, sa devise et son blason. En l'an 283, Robert Baratheon se révolta victorieusement contre la Maison Targaryen, devenant Roi des Sept Couronnes. Après sa mort, ses frères Stannis et Renly, la Maison Stark et la Maison Greyjoy entrèrent en rébellion contre son 'fils' Joffrey.;;;Con un resultado de $SCORE$, no has podido superar a la Casa Baratheon, primero Reyes de la Tormenta, posteriormente Señores Supremos de las Tierras de la Tomenta y finalmente Reyes de Poniente. El primer Rey de la Tormenta fue Durran I 'Pena de Dioses' quien de acuerdo a la leyenda construyó Bastión de la Tormeta y se casó con Elenei, hija del dios del mar y la diosa de los vientos. His successors managed to conquer the Riverlands to the north, and held them until the reign of King Arrec who lost them to the ironborn house Hoare. Durante la Guerra de Conquista, el rey Argilac fue asesinado por Orys Baratheon, del que se rumoreaba que era hermano bastardo de Aegon El Conquistador, y tomó a su hija, el nombre de su casa, su escudo de armas y su lema. En el año 283 DD, Robert Baratheon se rebeló con la Casa Targaryen y salió victorioso convirtiendose en Rey de los Siete Reinos. Después de su muerte, sus hermanos Stannis y Renly, la Casa Stark y la Greyjoy se rebeleraon cada uno por su cuenta contra su hijo Joffrey.;;;;;;;;;x
DYN3_DESC;With a score of $SCORE$ you$FAILED$ beat House Hyrule, who lead humanity in the resettlement of the world from one corner of the known world to the other. Who for centuries after their founding each ruler held the power of the Triforce. This is the house of Zelda who every fem centuries would lead her people to a new golden age which outshadowed the former. Though it is the family of Hylia reborn it was not without it's blemish and in most timelines the families accomplishments broke like that of Hylia's own.;Avec un score de $SCORE$, vous surpassez la Maison Stark, d'abord Rois du Nord puis Seigneurs Suzerains et Gouverneurs du Nord. La Maison Stark est une ancienne maison des Premiers Hommes, descendant de Brandon le Bâtisseur qui construisit le Mur et Winterfell. Ils furent Rois dans le Nord pendant des centaines d'années, affrontant sans relâche la Maison Bolton pour conserver leur trône, jusqu'à l’arrivée d’Aegon en Westeros qui poussa le Roi Torrhen Stark 'le Roi qui plia le genou' à se soumettre en échange des dignités de Seigneur Suzerain et Gouverneur du Nord. En l'an 283 Eddard Stark se joignit à la rébellion de Robert Baratheon suite aux assassinats de son père et son frère aîné par le 'Roi fou'. Après la rébellion les Stark servirent fidèlement Robert Baratheon jusqu'à sa mort en 298, lorsque le 'fils' du défunt roi, Joffrey, fit exécuter Eddard Stark. Son fils Robb se rebella et se proclama Roi du Nord.;;;Con un resultado de $SCORE$, no has podido superar a la Casa Stark, primero Reyes en el Norte, y luego Señores Supremos y Guardianes del Norte. La Casa Stark es un antigua casa que desciende de los Primeros Hombres, directamente desde Brandon El Constructor, quien constuyó el Muro y el castillo de Invernalia. Fueron Reyes en el Norte durante miles de años, pese a las luchas durante cientos de años contra la Casa Bolton. Hasta el Desembarco de Aegon, cuando El Rey Torrhen 'El Rey arrodilladado' Stark quien se postró delante de Aegon y pudor mantenerse como Señor Supremo y Guardián del Norte. En el año 283 DD Eddard Stark se unió a la Rebelión de Robert Baratheon después que 'El Rey Loco' asesinara a su padre y hermano mayor. Después de la rebelión sirvieron fieles al rey hasta su muerte en el 298 DD cuando su hijo Joffrey ejecutó a Lord Eddard Stark y el heredero Robb Stark se rebeló y se autoproclamó Rey en el Norte.;;;;;;;;;x
DYN4_DESC;With a score of $SCORE$ you$FAILED$ beat House Lynna, which forged a kingdom and which helped modernize the entire southern Hyrule and helped forge 2 empires and 1 kingdom.;Avec un score de $SCORE$, vous surpassez la Maison Lannister, d'abord Rois du Roc puis Seigneurs Suzerains et Gouverneurs de l'Ouest. Les Lannister affirment descendre de Lann le Futé, personnage de l’Âges des Héros qui prit par ruse la forteresse de Castral Roc à la Maison Castral. Ils furent Rois du Roc jusqu'à l'arrivée d'Aegon où ils plièrent le genou après avoir été témoins du feu de ses dragons. Le règne de l'incompétent Tytos Lannister vit péricliter l'influence et le prestige de la maison, laissant aux Maisons Reyne et Tarbeck le champ libre de se soulever. Son fils Tywin écrasa brutalement les deux rébellions et restaura l’ancienne gloire des Lannister, puis occupa la dignité de Main du Roi Aerys II. Lorsque la Rébellion de Robert Baratheon éclata, Tywin n'était plus Main du Roi depuis longtemps et il s’abstint de prendre parti jusqu'à la victoire de Robert au Trident, après laquelle il saccagea Port-Royal et la livra à Robert qui épousa par la suite sa fille Cersei. Après la mort du Roi Robert, les Lannister se battirent pour le roi Joffrey.;;;Con un resultado de $SCORE$, no has podido superar a la Casa Lannister, primero Reyes de la Roca y luego Señores Supremos y Guardianes del Occidente. Los Lannister descienden de Lann 'el astuto' quien supuestamente engaño a los Castely y los espulsó de Roca Casterly durante la Edad delos Heores. Fueron Reyes de la Roca hasta el Desembarco de Aegon, pero se doblegaron cuando vieron el fuego de sus dragones. Durante el mandato del incopetente Tytos la influencia y prestigio de la Casa cayo drasticamente, provocando la rebelión de las Casas Reyne y Tarbeck. Su hijo Tywin acalló brutalmente la rebelión y reatauró el prestigio de perdido, también sirvió como Mano del Rey Aerys II. En el momento de la Rebelión de Robert, Tywin ya no era Mano del Rey y no se decantó por nadie hasta la victoria de Robert en el Tridente cuando saqueó Desembarco del Rey y asesinó a la familia real y apoyó a Robert, quien se casó con su hija Cersei. Después de la muerte del Rey Robert, los Lannisters lucharon en el bando de Joffrey. ;;;;;;;;;x
