#building
ca_corral_1;Horse Thieves;;;;;;;;;;;;;;;;;;;x
ca_corral_2;Horse Thieves;;;;;;;;;;;;;;;;;;;x
ca_corral_3;Horse Thieves;;;;;;;;;;;;;;;;;;;x
ca_corral_4;Horse Thieves;;;;;;;;;;;;;;;;;;;x
ca_corral_5;Horse Thieves;;;;;;;;;;;;;;;;;;;x
ca_corral_6;Horse Thieves;;;;;;;;;;;;;;;;;;;x
ca_corral_1_desc;Most bokoblin don't have the patient to raise horses themselves so often they either break in wild horses, or die tring, or steal already domesticated horses from human settlements.;;;;;;;;;;;;;;;;;;x
ca_hinox_cave_1;Hinox Cave;;;;;;;;;;;;;;;;;;;x
ca_hinox_cave_2;Hinox Cavern;;;;;;;;;;;;;;;;;;;x
ca_hinox_cave_desc;A number of natural caves are inhabited by Hinox.;;;;;;;;;;;;;;;;;;;x
ca_lynol_cave_1;Lynol Cave;;;;;;;;;;;;;;;;;;;x
ca_lynol_cave_2;Lynol Cavern;;;;;;;;;;;;;;;;;;;x
ca_lynol_cave_desc;A number of natural caves are inhabited by Lynol.;;;;;;;;;;;;;;;;;;;x
ca_zone_1;Forest Zone;;;;;;;;;x
ca_zone_2;Flooded Zone;;;;;;;;;x
ca_zone_3;Scorching Zone;;;;;;;;;x
ca_zone_4;Frozen Zone;;;;;;;;;x
ca_zone_5;Fortified Zone;;;;;;;;;x
ca_zone_6;Desert_zone;;;;;;;;;x
ca_zone_7;Shadow Zone;;;;;;;;;x
ca_zone_8;Baneful Zone;;;;;;;;;x
ca_zone_1_desc;The trial zones are a series of ancient caverns each houseing a unique environment, when they were built is a mystery and to this day they are in good conditions. However they may need some repairs to restore access to the caverns.;;;;;;;;;x
ca_knight_list_1_desc;Here knights face off against one another in jousting tournaments and other chivalrous competitions;;;;;;;;;;x
ca_ho_ho_housecar_l;Housecarl Barracks;;;;;;;;;;x
ca_ho_ho_housecar_2;Housecarl Barracks;;;;;;;;;;x
ca_ho_ho_housecar_3;Housecarl Barracks;;;;;;;;;;x
ca_ho_ho_housecar_4;Housecarl Barracks;;;;;;;;;;x
