#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_atsu;Atsu;Atsu;Atsu;;Atsu;;;;;;;;;x
c_atsu_adj;Atsian;;atser;;;;;;;;;;;x
c_eabo;Eabo;Eabo;Eabo;;Eabo;;;;;;;;;x
c_eabo_adj;Eabian;;eaber;;;;;;;;;;;x
c_hoimo;Hoimo;Hoimo;Hoimo;;Hoimo;;;;;;;;;x
c_hoimo_adj;Hoimian;;hoimer;;;;;;;;;;;x
c_keatichi;Keatichi;Keatichi;Keatichi;;Keatichi;;;;;;;;;x
c_keatichi_adj;Keatichian;;keaticher;;;;;;;;;;;x
c_mikania;Mikania;Mikania;Mikania;;Mikania;;;;;;;;;x
c_mikania_adj;Mikanian;;mikaner;;;;;;;;;;;x
c_nukatara;Nukatara;Nukatara;Nukatara;;Nukatara;;;;;;;;;x
c_nukatara_adj;Nukataran;;nukatarer;;;;;;;;;;;x
c_sabru;Sabru;Sabru;Sabru;;Sabru;;;;;;;;;x
c_sabru_adj;Sabrian;;sabrer;;;;;;;;;;;x
c_shitara;Shitara;Shitara;Shitara;;Shitara;;;;;;;;;x
c_shitara_adj;Shitaran;;shitarer;;;;;;;;;;;x
