#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
BOSS;Boss;Boss;Boss;;Boss;;;;;;;;;x
BOSS_FOA;Boss;Boss;Boss;;Boss;;;;;;;;;x
LEGATUS;Legatus;Legatus;Legatus;;Legatus;;;;;;;;;x
LEGATUS_FOA;Legatus;Legatus;Legatus;;Legatus;;;;;;;;;x
PRIMUS;Primus Centurion;Primus Centurion;Primus Centurion;;Primus Centurion;;;;;;;;;x
PRIMUS_FOA;Primus Centurion;Primus Centurion;Primus Centurion;;Primus Centurion;;;;;;;;;x
CENTURION;Centurion;Centurion;Centurion;;Centurion;;;;;;;;;x
CENTURION_FOA;Centurion;Centurion;Centurion;;Centurion;;;;;;;;;x
HIGH_EXEMPLAR;High Exemplar;High Exemplar;High Exemplar;;High Exemplar;;;;;;;;;x
HIGH_EXEMPLAR_FOA;High Exemplar;High Exemplar;High Exemplar;;High Exemplar;;;;;;;;;x
JUDGE;Judge;Judge;Judge;;Judge;;;;;;;;;x
#culture group
hylian_group;Hylian;;;;;;;;;;;;x#translate
round_eared;Human;;;;;;;;;;;;x#translate
lost_tribe;Lost Tribes;;;;;;;;;;;;x#translate
spirit_continent;Spirit Natives;;;;;;;;;;;;x#translate
goron_group;Goron Tribes;;;;;;;;;;;;x#translate
aquatic_group;Aquatic Tribes;;;;;;;;;;;;x#translate
avian_group;Avian Tribes;;;;;;;;;;;;x#translate
mammalian_group;Mammalian Tribes;;;;;;;;;;;;x#translate
fae;Fae Tribes;;;;;;;;;;;;x#translate
plant_group;Plant Tribes;;;;;;;;;;;;x#translate
blin;Blin Tribes;;;;;;;;;;;;x#translate
lfos;Lfos Tribes;;;;;;;;;;;;x#translate
undead;Undead Species;;;;;;;;;;;;x#translate
other_world;Alien Tribes;;;;;;;;;;;;x#translate
dead_cultures;Extinct Tribes;;;;;;;;;;;;x#translate
mammalian_monsters;Mammalian Monsters;;;;;;;;;;;x#translate
infernal;Infernal;;;;;;;;;;;;;;x#translate
aquatic_monster;Aquatic Monster;;;;;;;;;;;;;;;x
graphical_only;Graphic Culture;;;;;;;;;;;;;x
mercenary_monsters;Mercenary Monsters;;;;;;;;;;;;;x#translate
#cultures
korok;Korok;;;;;;;;;;;;;;x#translate
mazura;Mazura;;;;;;;;;;;;;;x#translate
fokka;Fokka;;;;;;;;;;;;;;;;x#translate
wosu;Wosu;;;;;;;;;;;;;;;;;x#translate
